Time,E_EW (V/km),E_NS (V/km)
0,0,0
10,0.01749957,0.04083233
20,0.013903324,0.049940659
30,0.031693316,0.015911717
40,0.02436654,-0.032774623
50,0.015556908,0.016148296
60,0.011311585,0.019773583
70,0.026348971,-0.011364731
80,0.003698828,0.013545681
90,0.018204886,0.014363277
100,0.01687511,0.009247888
110,0.029389647,0.007024575
120,0.005881286,0.023260556
130,0.002469647,0.001363725
140,0.004500323,0.016366552
150,0.004908812,-0.002121102
160,0.004924075,0.031733372
170,0.004799823,0.010352022
180,0.004626114,-0.013432598
190,0.004438742,-0.008810469
200,0.00425268,0.014177014
210,0.021573706,0.012898586
220,0.017808725,0.026034146
230,0.012107531,0.020544016
240,0.02692689,0.031437285
250,0.021772285,-0.010360202
260,0.015229408,-0.010590795
270,0.012005153,0.014252791
280,0.010075517,0.013465408
290,0.032142408,0.00927964
300,-0.014375885,0.02494571
310,0.003460288,0.002797227
320,0.008901911,0.000169383
330,-0.010547982,0.02019828
340,-0.007686369,0.040682698
350,0.014900206,0.007270672
360,0.013500438,0.025533701
370,0.00910541,0.02330075
380,0.007210822,0.016448327
390,0.006155668,0.013140417
400,0.005494942,0.011149747
410,0.005041853,0.027330733
420,0.004707174,0.04029566
430,0.004444441,0.01294969
440,0.004227894,0.025412086
450,0.004042559,-0.012050254
460,0.003879369,0.006953862
470,0.027065396,-0.0059447
480,0.022136419,0.03036008
490,-0.008710431,0.010269336
500,0.015926383,0.045542204
510,0.016521372,0.0386007
520,0.011245501,0.002532659
530,-0.014426556,0.024690221
540,-0.028481709,0.023822441
550,-0.018364584,-0.005736102
560,-0.010052857,0.036888428
570,-0.006080189,0.034045138
580,-0.003855353,0.005735658
590,-0.00251537,0.021898982
600,-0.001663783,0.003482
610,0.016401217,0.019719669
620,-0.004304759,0.001765055
630,-0.005973481,0.018341887
640,-0.002758746,-0.022706473
650,-0.001493059,0.022169009
660,-0.000825807,0.02467403
670,-0.000434158,-0.001092886
680,-0.000186407,-0.00094221
690,-2.05E-05,0.002685995
700,-0.017403679,0.004017765
710,-0.03122226,0.022112848
720,-0.022019568,0.018777826
730,-0.013895932,0.013328062
740,-0.009906255,0.028298854
750,-0.007586486,0.046569218
760,-0.00612206,0.011954159
770,-0.045969319,-0.011332954
780,-0.03687923,-0.005635172
790,-0.005927393,-0.017368562
800,-0.003214849,-0.011400055
810,-0.005125058,-0.004709227
820,0.017969065,-0.024937269
830,0.013306784,-0.018445558
840,0.023658677,0.013264055
850,0.016953775,0.012441041
860,0.009779962,0.02481186
870,-0.034498317,-0.021601584
880,-0.004726716,0.021091213
890,-0.021109185,-0.018275717
900,0.004774122,-0.018655354
910,0.006795744,-0.009398195
920,0.020063437,0.01784312
930,-0.002599627,0.015155554
940,-0.028637844,0.009010772
950,-0.021229924,0.006420915
960,-0.012944525,-0.018282072
970,-0.009139324,0.026548149
980,-0.024511729,0.007549113
990,-0.019613565,-0.022076793
1000,-0.01321636,-0.033487789
1010,-0.01008977,0.01853674
1020,-0.00823446,-0.004254638
1030,0.010469199,-0.008012615
1040,-0.009790016,0.036819712
1050,0.006377754,0.030056493
1060,-0.02873324,0.018018647
1070,-0.048924598,0.012657491
1080,-0.034712508,-0.007795369
1090,-0.040611224,-0.005979715
1100,-0.048763827,-0.042418522
1110,-0.001252378,-0.032280911
1120,0.042617853,-0.035992634
1130,0.028565576,-0.008544216
1140,0.031422907,-0.020547922
1150,0.021328943,-0.017807592
1160,-0.005159642,0.023014584
1170,-0.006057704,-0.016246756
1180,-0.003106554,0.016654419
1190,-0.002169586,-0.000819734
1200,-0.001780726,-0.005236318
1210,-0.019103796,-0.020525958
1220,0.002079076,-0.016146969
1230,-0.036758565,0.048150901
1240,-0.031346726,-0.001867442
1250,0.003831853,-0.010340356
1260,-0.018914608,-0.02232782
1270,0.004858365,0.000635678
1280,-0.017375883,0.003492847
1290,0.006092681,-0.016511069
1300,-0.01640858,-0.037048832
1310,-0.016469351,-0.027053172
1320,-0.028483328,-0.017282323
1330,-0.022454456,-0.012549421
1340,0.001983406,0.013528001
1350,-0.050687704,-0.012864405
1360,-0.043404329,0.009045975
1370,-0.051314063,-0.014228651
1380,-0.016084423,0.008621035
1390,0.008083091,0.00906527
1400,-0.014457438,-0.019376708
1410,0.01885519,-0.016659517
1420,-0.002303695,-0.027834853
1430,-0.00813003,-0.021450699
1440,0.010915717,0.003146852
1450,-0.009716219,-0.014454591
